iter	PRAUC	Logloss
0	0.6949500196	0.6915246671
1	0.7012842826	0.6899097626
2	0.7103014757	0.6881685525
3	0.7037913928	0.6866552104
4	0.7093501466	0.6849118605
5	0.7082443168	0.6836163252
6	0.7099425504	0.6820678182
7	0.7120288684	0.6804898775
8	0.7118755138	0.6793215575
9	0.712230514	0.678164679
10	0.7105653535	0.6768562138
11	0.7073773856	0.6763685224
12	0.7084571323	0.6751714706
13	0.7080155566	0.6740536273
14	0.7102571649	0.672488529
15	0.7100111468	0.6711370333
16	0.6907545188	0.669939335
17	0.7085771429	0.6686773323
18	0.7088763438	0.6673242941
19	0.7084796621	0.6661187238
20	0.708493707	0.6649756951
21	0.7081556351	0.6638800931
22	0.7098795122	0.6625468735
23	0.7109515419	0.6611568629
24	0.7115707716	0.6604607827
25	0.7113777849	0.6595567744
26	0.7110967397	0.6587512809
27	0.7114233732	0.6578834266
28	0.7116950478	0.6566692362
29	0.7117683654	0.6558174971
30	0.7121167105	0.6548195993
31	0.7119671834	0.6539239866
32	0.7111294697	0.6535806425
33	0.7117363982	0.6526226037
34	0.7112971682	0.6521270169
35	0.7113852132	0.6512737082
36	0.711654715	0.6503937054
37	0.7115063627	0.6496846463
38	0.7120698145	0.648630249
39	0.7124647455	0.6477056434
40	0.7126569534	0.6469857943
41	0.7122479632	0.6467006476
42	0.7135519854	0.6454620947
43	0.7133826654	0.6450252779
44	0.7135412215	0.6444264646
45	0.7149674367	0.6437949592
46	0.7148258017	0.6431996761
47	0.7155306561	0.6420924355
48	0.7155923757	0.6413398361
49	0.7159755802	0.6404922124
50	0.7157214556	0.6400154437
51	0.7158313424	0.6396612743
52	0.7161256822	0.6389491702
53	0.7162246672	0.638341917
54	0.7163513587	0.6375019932
55	0.7165438584	0.6368294006
56	0.7167362495	0.6361757596
57	0.7165859875	0.6355996651
58	0.7167014956	0.6348701425
59	0.7165409597	0.6345702242
60	0.7162351471	0.6343004918
61	0.7162534613	0.6339540527
62	0.7163962389	0.6332859471
63	0.7166026882	0.63261055
64	0.716515918	0.6321064549
65	0.7170487775	0.6313792152
66	0.7167678582	0.631061403
67	0.7168536751	0.6304494109
68	0.7170476808	0.6298726401
69	0.7172555284	0.6294734564
70	0.7177916994	0.6286812628
71	0.7178579231	0.6282026245
72	0.7180425523	0.6276100064
73	0.7179906451	0.6270702114
74	0.7180922912	0.6264562709
75	0.7179589196	0.6260330206
76	0.718548913	0.6255668628
77	0.7184069684	0.6252192903
78	0.7189094318	0.6245401172
79	0.7187730131	0.6241272718
80	0.7189483364	0.6236878297
81	0.7188393966	0.6232274938
82	0.7192702624	0.6226069309
83	0.7193022251	0.6223683241
84	0.7192449545	0.6222930972
85	0.7191691999	0.6219676934
86	0.7190714057	0.621821245
87	0.719312597	0.6214011154
88	0.7196061107	0.6209691136
89	0.7195998155	0.6208394121
90	0.7198069827	0.6204662528
91	0.7200903029	0.6198540604
92	0.7202860168	0.6194372791
93	0.7205022063	0.6189177196
94	0.7204863354	0.6185732212
95	0.7209659557	0.6179335768
96	0.7209224	0.6176273902
97	0.721030479	0.6171932993
98	0.7212341683	0.616876479
99	0.7210850234	0.616693375
100	0.7212837916	0.6163014299
101	0.72142856	0.6158695556
102	0.7214872552	0.6155698196
103	0.7216927282	0.6152219163
104	0.7219990669	0.6147827329
105	0.722128436	0.6143499476
106	0.7227123649	0.6137452403
107	0.7227736214	0.6134310121
108	0.7227927323	0.6131311851
109	0.7229368839	0.6128514378
110	0.7229043581	0.6127283526
111	0.7227588049	0.6125133622
112	0.7229422858	0.612127393
113	0.7230955932	0.6116059941
114	0.7233250453	0.6112079982
115	0.723340876	0.6111165044
116	0.723887511	0.6106123791
117	0.7242036221	0.6105021361
118	0.7243077538	0.6102496321
119	0.724661402	0.6098422916
120	0.7247728659	0.6095061001
121	0.7259129687	0.6091612026
122	0.7259542958	0.6089486685
123	0.7259458024	0.6087022592
124	0.7261832672	0.6082817526
125	0.7261282183	0.6081121075
126	0.7260669505	0.6080732784
127	0.7260433743	0.6080371012
128	0.7263999041	0.6075393726
129	0.7264807862	0.6073501448
130	0.7265672268	0.6071675715
131	0.7267611104	0.6068494805
132	0.7267570532	0.606620679
133	0.726647228	0.6064492729
134	0.7269071675	0.6060106181
135	0.7269107781	0.6059695991
136	0.7269928475	0.6057054452
137	0.7270802173	0.6053417636
138	0.7273624531	0.6050155809
139	0.727480378	0.6047646624
140	0.7274906093	0.6045058786
141	0.7276123609	0.6042507706
142	0.7276509187	0.604022952
143	0.7276186307	0.6039611103
144	0.7277593741	0.6037505613
145	0.7277923819	0.6035835551
146	0.7278482015	0.6035122283
147	0.7279778831	0.6032325651
148	0.7280677152	0.6030442708
149	0.7280305162	0.6028493291
150	0.728075033	0.6027172074
151	0.7283140584	0.6024295587
152	0.7283179333	0.602248326
153	0.7285463925	0.6019555729
154	0.7287380016	0.6015901343
155	0.7288843141	0.6013347441
156	0.7288859555	0.6010877545
157	0.7288942561	0.6010649795
158	0.7290125511	0.600802758
159	0.7293046537	0.60041353
160	0.7292475509	0.6003323711
161	0.729159444	0.6003026082
162	0.7292138459	0.6001285983
163	0.7294161219	0.5998932794
164	0.7297468142	0.5994503998
165	0.729872671	0.5992708842
166	0.730184209	0.5989588379
167	0.7301790287	0.5989049215
168	0.7302294004	0.5987602057
169	0.7304490422	0.5984446431
170	0.7305483509	0.5982735676
171	0.7307628019	0.5980364957
172	0.7310804945	0.5977479293
173	0.7312463246	0.5975608023
174	0.731410838	0.5973629871
175	0.7314376844	0.5972549652
176	0.7314270212	0.5972377866
177	0.7314512078	0.5971373336
178	0.7316331702	0.5969154876
179	0.7317767472	0.5966768578
180	0.731860185	0.5965122759
181	0.7320471008	0.5962861967
182	0.7321382493	0.596090233
183	0.7322650652	0.5958112288
184	0.732337787	0.5956676971
185	0.732504688	0.5955371398
186	0.7324988959	0.5955305318
187	0.7324671096	0.5955231811
188	0.7324652851	0.5953604068
189	0.7324982051	0.5951949522
190	0.7327061563	0.594981074
191	0.7327307118	0.5948778874
192	0.7327622088	0.5947606768
193	0.7329341328	0.5945830028
194	0.7329133991	0.5945756677
195	0.7330347011	0.5944073703
196	0.7329844744	0.5943755301
197	0.7330365522	0.5941732448
198	0.7331079315	0.5940316238
199	0.7330909052	0.5940255442
200	0.733462774	0.593921003
201	0.7332867903	0.593685488
202	0.7337476545	0.5935059678
203	0.7341572634	0.5932354934
204	0.7344072028	0.593002294
205	0.7342713827	0.5927205404
206	0.734672467	0.5926199238
207	0.7347305666	0.5925455469
208	0.7346464613	0.5922418745
209	0.7351075429	0.5920503464
210	0.735508554	0.5919666266
211	0.7355882263	0.591764908
212	0.7357585937	0.5915198878
213	0.7358904648	0.5913369249
214	0.7360590173	0.5911548806
215	0.7361125961	0.5910786255
216	0.7361919633	0.5909234392
217	0.7361409142	0.5907753011
218	0.7362243285	0.5906957675
219	0.7363997503	0.5905057797
220	0.7365121333	0.5903772788
221	0.7365704599	0.5902375439
222	0.7367435637	0.5900697135
223	0.73712611	0.589886356
224	0.7372178096	0.5897864393
225	0.7372126642	0.5896866126
226	0.7373121662	0.5894630551
227	0.7374079315	0.589329672
228	0.7374192929	0.589215919
229	0.7374827104	0.5891348379
230	0.7376840348	0.5889510942
231	0.7377479332	0.5888121468
232	0.7378026731	0.5887686777
233	0.7380208653	0.5886118011
234	0.737985452	0.5886072621
235	0.7380764244	0.5884988526
236	0.7381067437	0.5883860859
237	0.738390707	0.5880741136
238	0.7385826642	0.5878676562
239	0.7385805048	0.5878528934
240	0.7385572852	0.5878192718
241	0.7385572852	0.5878186342
242	0.7386574215	0.5877366377
243	0.7388007579	0.5875843571
244	0.7387934281	0.5874871426
245	0.7390208651	0.5872932208
246	0.7391628159	0.5870542452
247	0.7393429241	0.5868210481
248	0.7395353888	0.5866219704
249	0.7392047517	0.5865282908
250	0.7393857513	0.5863627335
251	0.7396008978	0.5861627159
252	0.7397234918	0.5860426833
253	0.7398658652	0.5858529051
254	0.7400007348	0.5857278965
255	0.7400414565	0.5856456842
256	0.7401592382	0.5855455904
257	0.7403241186	0.5853640518
258	0.7404368465	0.5851613244
259	0.7407378294	0.5849966088
260	0.7407889152	0.584946998
261	0.7410578884	0.5846979692
262	0.7412135983	0.5845704275
263	0.7416182856	0.5843110088
264	0.7416314476	0.5842683371
265	0.742196563	0.584109661
266	0.7423010682	0.5839765633
267	0.7422951087	0.5839735922
268	0.7424136804	0.5837520211
269	0.7426494788	0.5836082854
270	0.7427113466	0.583462721
271	0.7427403684	0.5833932178
272	0.7427731322	0.5833216043
273	0.7429356725	0.5830079098
274	0.742933165	0.5829289878
275	0.7430247138	0.5828794248
276	0.7430333137	0.5828339115
277	0.743172042	0.5827395573
278	0.7432054144	0.5826673454
279	0.7433603566	0.5825050431
280	0.7434565259	0.5823921846
281	0.7435794086	0.5822774519
282	0.7436020257	0.5822332964
283	0.7436480155	0.5821487654
284	0.7436778058	0.5820435973
285	0.7437945092	0.5818447731
286	0.7438673307	0.5818143329
287	0.7439391164	0.581696059
288	0.7439384379	0.58169101
289	0.7440296083	0.5815848747
290	0.7440339323	0.5815151975
291	0.7440556632	0.581460528
292	0.744226336	0.5813177417
293	0.7442674207	0.5812425979
294	0.7444194318	0.5811334875
295	0.7444172103	0.5811025692
296	0.7445970091	0.5809337934
297	0.7450488584	0.580741385
298	0.7452139504	0.580627005
299	0.7451971608	0.5806157791
