iter	Passed	Remaining
0	165	49445
1	187	27893
2	209	20779
3	232	17220
4	255	15054
5	275	13494
6	298	12479
7	319	11659
8	341	11052
9	363	10553
10	386	10167
11	398	9555
12	419	9268
13	441	9024
14	464	8834
15	492	8744
16	516	8602
17	540	8460
18	564	8342
19	587	8224
20	611	8123
21	636	8043
22	664	8004
23	691	7949
24	717	7891
25	737	7773
26	762	7714
27	788	7660
28	812	7590
29	841	7569
30	866	7519
31	894	7487
32	909	7358
33	937	7338
34	958	7260
35	981	7200
36	1004	7138
37	1023	7058
38	1045	6993
39	1066	6935
40	1088	6878
41	1101	6769
42	1126	6731
43	1144	6658
44	1169	6629
45	1191	6581
46	1213	6533
47	1236	6493
48	1259	6453
49	1282	6411
50	1304	6367
51	1318	6289
52	1341	6252
53	1362	6208
54	1385	6173
55	1408	6137
56	1431	6103
57	1449	6047
58	1472	6013
59	1486	5946
60	1502	5885
61	1517	5825
62	1539	5793
63	1562	5762
64	1581	5717
65	1606	5697
66	1629	5666
67	1652	5638
68	1673	5603
69	1695	5570
70	1718	5542
71	1741	5514
72	1764	5486
73	1787	5459
74	1811	5433
75	1832	5400
76	1853	5368
77	1876	5340
78	1899	5314
79	1923	5290
80	1959	5299
81	1983	5274
82	2005	5242
83	2026	5211
84	2036	5151
85	2059	5123
86	2072	5073
87	2095	5048
88	2117	5020
89	2129	4968
90	2151	4941
91	2174	4915
92	2197	4890
93	2219	4863
94	2242	4838
95	2264	4812
96	2287	4787
97	2310	4762
98	2333	4737
99	2350	4701
100	2373	4677
101	2396	4651
102	2418	4624
103	2440	4599
104	2463	4575
105	2485	4549
106	2508	4524
107	2530	4499
108	2552	4473
109	2575	4448
110	2590	4410
111	2606	4374
112	2630	4353
113	2652	4327
114	2675	4303
115	2687	4262
116	2711	4240
117	2727	4206
118	2749	4182
119	2772	4159
120	2795	4135
121	2817	4110
122	2839	4086
123	2862	4062
124	2884	4038
125	2899	4004
126	2910	3964
127	2920	3924
128	2943	3901
129	2965	3878
130	2983	3848
131	3006	3825
132	3027	3801
133	3049	3777
134	3072	3754
135	3084	3719
136	3106	3696
137	3131	3675
138	3152	3651
139	3175	3629
140	3198	3607
141	3221	3584
142	3244	3562
143	3258	3529
144	3281	3508
145	3304	3485
146	3318	3453
147	3341	3432
148	3365	3410
149	3388	3388
150	3410	3365
151	3434	3343
152	3458	3322
153	3481	3300
154	3504	3278
155	3527	3255
156	3549	3232
157	3560	3199
158	3582	3177
159	3605	3155
160	3628	3132
161	3644	3104
162	3666	3081
163	3691	3061
164	3715	3039
165	3737	3017
166	3761	2995
167	3776	2967
168	3797	2943
169	3819	2920
170	3840	2897
171	3862	2874
172	3885	2852
173	3908	2830
174	3932	2808
175	3963	2792
176	3981	2766
177	4004	2744
178	4028	2723
179	4051	2700
180	4075	2679
181	4096	2656
182	4118	2632
183	4140	2610
184	4158	2585
185	4182	2563
186	4193	2533
187	4204	2504
188	4227	2482
189	4249	2460
190	4273	2438
191	4294	2415
192	4312	2390
193	4334	2368
194	4346	2340
195	4368	2317
196	4380	2290
197	4402	2267
198	4424	2245
199	4435	2217
200	4458	2195
201	4482	2174
202	4505	2152
203	4528	2131
204	4551	2109
205	4575	2087
206	4594	2064
207	4617	2042
208	4640	2020
209	4662	1998
210	4680	1974
211	4703	1952
212	4727	1930
213	4750	1908
214	4774	1887
215	4798	1865
216	4822	1844
217	4845	1822
218	4862	1798
219	4884	1776
220	4908	1754
221	4932	1733
222	4956	1711
223	4982	1690
224	5004	1668
225	5027	1646
226	5051	1624
227	5079	1603
228	5101	1581
229	5126	1560
230	5148	1537
231	5170	1515
232	5186	1491
233	5212	1470
234	5224	1445
235	5247	1423
236	5271	1401
237	5296	1379
238	5320	1357
239	5335	1333
240	5357	1311
241	5367	1286
242	5389	1264
243	5414	1242
244	5433	1219
245	5457	1198
246	5480	1176
247	5505	1154
248	5528	1132
249	5552	1110
250	5575	1088
251	5599	1066
252	5624	1044
253	5647	1022
254	5671	1000
255	5696	979
256	5719	957
257	5743	935
258	5769	913
259	5792	891
260	5810	868
261	5835	846
262	5858	824
263	5882	802
264	5904	779
265	5927	757
266	5951	735
267	5963	712
268	5996	690
269	6019	668
270	6043	646
271	6065	624
272	6083	601
273	6107	579
274	6131	557
275	6154	535
276	6169	512
277	6191	490
278	6215	467
279	6237	445
280	6260	423
281	6284	401
282	6306	378
283	6327	356
284	6352	334
285	6375	312
286	6394	289
287	6416	267
288	6428	244
289	6452	222
290	6476	200
291	6499	178
292	6523	155
293	6546	133
294	6569	111
295	6585	88
296	6609	66
297	6633	44
298	6657	22
299	6673	0
